year,sp500_total_return,tbond_10y_return
1928,0.438112,0.008355
1929,-0.082979,0.042038
1930,-0.251236,0.045409
1931,-0.438375,-0.025589
1932,-0.086424,0.087903
1933,0.499822,0.018553
1934,-0.011886,0.079634
1935,0.467404,0.04472
1936,0.319434,0.050179
1937,-0.353367,0.013791
1938,0.292827,0.042132
1939,-0.010976,0.044123
1940,-0.106729,0.054025
1941,-0.127715,-0.020222
1942,0.191738,0.022949
1943,0.250613,0.0249
1944,0.190307,0.025776
1945,0.358211,0.038044
1946,-0.084291,0.031284
1947,0.052,0.009197
1948,0.057046,0.01951
1949,0.183032,0.046635
1950,0.308055,0.004296
1951,0.236785,-0.002953
1952,0.18151,0.02268
1953,-0.012082,0.041438
1954,0.525633,0.032898
1955,0.325973,-0.013364
1956,0.074395,-0.022558
1957,-0.104574,0.06797
1958,0.4372,-0.02099
1959,0.120565,-0.026466
1960,0.003365,0.116395
1961,0.266377,0.020609
1962,-0.088115,0.056935
1963,0.226119,0.016842
1964,0.164155,0.037281
1965,0.123992,0.007189
1966,-0.09971,0.029079
1967,0.23803,-0.015806
1968,0.108149,0.032746
1969,-0.082414,-0.05014
1970,0.035611,0.167547
1971,0.142212,0.097869
1972,0.187554,0.028184
1973,-0.14308,0.036587
1974,-0.259018,0.019886
1975,0.369951,0.036053
1976,0.23831,0.159846
1977,-0.069797,0.0129
1978,0.065093,-0.007776
1979,0.185195,0.006707
1980,0.317352,-0.029897
1981,-0.047024,0.081992
1982,0.204191,0.328145
1983,0.223372,0.032002
1984,0.061461,0.137334
1985,0.312351,0.257125
1986,0.184946,0.242842
1987,0.058127,-0.049605
1988,0.165372,0.082236
1989,0.314752,0.176936
1990,-0.030645,0.062354
1991,0.302348,0.150045
1992,0.074937,0.093616
1993,0.099671,0.14211
1994,0.013259,-0.080367
1995,0.371952,0.234808
1996,0.22681,0.014286
1997,0.331037,0.099391
1998,0.28338,0.149214
1999,0.208854,-0.082542
2000,-0.090318,0.166553
2001,-0.118498,0.055722
2002,-0.21966,0.151164
2003,0.283558,0.003753
2004,0.107428,0.044907
2005,0.048345,0.028675
2006,0.156126,0.01961
2007,0.054847,0.102099
2008,-0.365523,0.201013
2009,0.259352,-0.111167
2010,0.148211,0.084629
2011,0.020984,0.160353
2012,0.158906,0.029716
2013,0.321451,-0.091046
2014,0.135244,0.107462
2015,0.013789,0.012843
2016,0.117731,0.006906
2017,0.216055,0.028017
2018,-0.042269,-0.000167
2019,0.312117,0.096356
2020,0.180232,0.113319
2021,0.284689,-0.04416
2022,-0.180375,-0.178282
2023,0.260607,0.0388
2024,0.248786,-0.016372
2025,0.177237,0.077955
